Id;Name;Duration;CalcPrio;LastRun;LastResults;Verdict;Cycle
1;BTClientes_v1.Crear_1;475;0;2021-08-27 15:01:45;[0, 0, 0, 0, 1, 1, 1];0;19
2;BTClientes_v1.Crear_2;271;0;2021-08-27 15:01:38;[0, 0, 0, 0, 1, 1, 1];0;19
3;BTClientes_v1.Crear_4;362;0;2021-08-27 15:01:20;[1, 1, 1, 1, 1, 1, 1];1;19
4;BTClientes_v1.Crear_3;317;0;2021-08-27 15:01:48;[0, 0, 1, 1, 1, 1, 1];0;19
5;BTPrestamos_v1.Simular_1;288;0;2021-08-31 12:17:43;[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0];1;19
6;BTPrestamos_v1.Simular_2;248;0;2021-08-31 12:17:42;[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1];1;19
7;BTPrestamos_v1.Simular_3;242;0;2021-08-31 12:17:42;[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1];1;19
8;BTPrestamos_v1.Simular_4;263;0;2021-08-31 12:17:42;[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1];1;19
9;BTPrestamos_v1.Simular_5;271;0;2021-08-31 12:17:43;[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1];1;19
10;BTPrestamos_v1.ObtenerDetalle_1;435;0;2021-08-30 18:36:44;[1, 1, 1, 1, 1, 1, 1, 1, 1, 1];1;19
11;BTPrestamos_v1.ObtenerDetalle_2;392;0;2021-08-30 18:36:43;[1, 1, 1, 1, 1, 1, 1, 1, 1, 1];1;19
12;BTPrestamos_v1.ObtenerDetalle_3;679;0;2021-08-30 18:36:43;[1, 1, 1, 1, 1, 1, 1, 1, 1, 1];1;19
