Id;Name;Duration;CalcPrio;LastRun;LastResults;Verdict;Cycle
1;BTClientes_v1.Crear_1;481;0;2021-08-27 14:58:19;[0, 0, 0, 1, 1, 1];0;10
2;BTClientes_v1.Crear_2;380;0;2021-08-27 14:58:17;[0, 0, 0, 1, 1, 1];0;10
3;BTClientes_v1.Crear_3;517;0;2021-08-27 14:57:51;[0, 1, 1, 1, 1, 1];0;10
4;BTClientes_v1.Crear_4;381;0;2021-08-27 14:57:51;[1, 1, 1, 1, 1, 1];1;10
5;BTClientes_v1.ObtenerClasificacionesInternas_1;263;0;2021-08-27 14:58:10;[0, 0, 0, 0, 0, 0];0;10
6;BTClientes_v1.ObtenerClasificacionesInternas_2;260;0;2021-08-27 14:58:22;[0, 0, 0, 0, 0, 0];0;10
7;BTClientes_v1.ObtenerClasificacionesInternas_3;292;0;2021-08-27 14:58:12;[0, 0, 0, 0, 0, 0];0;10
8;BTClientes_v1.ObtenerCuentasAhorro_1;243;0;2021-08-27 14:58:21;[0, 0, 0, 0, 0, 0];0;10
9;BTClientes_v1.ObtenerCuentasAhorro_2;250;0;2021-08-27 14:58:20;[0, 0, 0, 0, 0, 0];0;10
10;BTClientes_v1.ObtenerCuentasAhorro_3;278;0;2021-08-27 14:58:21;[0, 0, 0, 0, 0, 0];0;10
11;BTClientes_v1.ObtenerCuentasCorrientes_1;356;0;2021-08-27 14:57:56;[0, 0, 0, 0, 0, 0];0;10
12;BTClientes_v1.ObtenerCuentasCorrientes_2;379;0;2021-08-27 14:58:06;[0, 0, 0, 0, 0, 0];0;10
13;BTClientes_v1.ObtenerCuentasCorrientes_3;240;0;2021-08-27 14:58:03;[0, 0, 0, 0, 0, 0];0;10
14;BTClientes_v1.ObtenerIdentificadorUnico_1;295;0;2021-08-27 14:57:57;[0, 0, 0, 0, 0, 0];0;10
15;BTClientes_v1.ObtenerIdentificadorUnico_2;274;0;2021-08-27 14:57:55;[0, 0, 0, 0, 0, 0];0;10
16;BTClientes_v1.ObtenerIdentificadorUnico_3;397;0;2021-08-27 14:58:03;[0, 0, 0, 0, 0, 0];0;10
17;BTClientes_v1.ObtenerPerfil_1;294;0;2021-08-27 14:58:19;[0, 0, 0, 0, 0, 0];0;10
18;BTClientes_v1.ObtenerPerfil_2;297;0;2021-08-27 14:58:09;[0, 0, 0, 0, 0, 0];0;10
19;BTClientes_v1.ObtenerPerfil_3;340;0;2021-08-27 14:57:53;[1, 1, 1, 0, 0, 1];1;10
20;BTClientes_v1.ObtenerPlazosFijos_1;233;0;2021-08-27 14:57:56;[0, 0, 0, 0, 0, 0];0;10
21;BTClientes_v1.ObtenerPlazosFijos_2;329;0;2021-08-27 14:58:14;[0, 0, 0, 0, 0, 0];0;10
22;BTClientes_v1.ObtenerPlazosFijos_3;310;0;2021-08-27 14:57:57;[0, 0, 0, 0, 0, 0];0;10
23;BTClientes_v1.ObtenerPrestamos_1;280;0;2021-08-27 14:57:59;[0, 0, 0, 0, 0, 0];0;10
24;BTClientes_v1.ObtenerPrestamos_2;298;0;2021-08-27 14:58:22;[0, 0, 0, 0, 0, 0];0;10
25;BTClientes_v1.ObtenerPrestamos_3;313;0;2021-08-27 14:58:07;[0, 0, 0, 0, 0, 0];0;10
26;BTClientes_v1.ObtenerResumenProductos_1;400;0;2021-08-27 14:58:02;[0, 0, 0, 0, 0, 0];0;10
27;BTClientes_v1.ObtenerResumenProductos_2;348;0;2021-08-27 14:58:07;[0, 0, 0, 0, 0, 0];0;10
28;BTClientes_v1.ObtenerResumenProductos_3;477;0;2021-08-27 14:58:08;[0, 0, 0, 0, 0, 0];0;10
29;BTClientes_v1.ObtenerRiesgoCredito_1;276;0;2021-08-27 14:58:11;[0, 0, 0, 0, 0, 0];0;10
30;BTClientes_v1.ObtenerRiesgoCredito_2;365;0;2021-08-27 14:58:15;[0, 0, 0, 0, 0, 0];0;10
31;BTClientes_v1.ObtenerRiesgoCredito_3;290;0;2021-08-27 14:57:48;[0, 0, 0, 0, 0, 0];0;10
32;BTClientes_v1.ObtenerSectores_1;299;0;2021-08-27 14:57:54;[0, 0, 0, 0, 0, 0];0;10
33;BTClientes_v1.ObtenerSectores_2;329;0;2021-08-27 14:57:58;[0, 0, 0, 0, 0, 0];0;10
34;BTClientes_v1.ObtenerSectores_3;290;0;2021-08-27 14:58:16;[0, 0, 0, 0, 0, 0];0;10
35;BTClientes_v1.ObtenerTarjetasDebito_1;313;0;2021-08-27 14:58:05;[0, 0, 0, 0, 0, 0];0;10
36;BTClientes_v1.ObtenerTarjetasDebito_2;333;0;2021-08-27 14:57:52;[0, 0, 0, 0, 0, 0];0;10
37;BTClientes_v1.ObtenerTarjetasDebito_3;251;0;2021-08-27 14:57:59;[0, 0, 0, 0, 0, 0];0;10
38;BTClientes_v1.ValidarExistencia_1;259;0;2021-08-27 14:58:09;[0, 0, 0, 0, 0, 0];0;10
39;BTClientes_v1.ValidarExistencia_2;230;0;2021-08-27 14:58:15;[0, 0, 0, 0, 0, 0];0;10
40;BTClientes_v1.ValidarExistencia_3;305;0;2021-08-27 14:58:10;[0, 0, 0, 0, 0, 0];0;10
41;BTConfiguracionBantotal_v1.ObtenerActividades_1;406;0;2021-08-27 14:58:00;[0, 0, 0, 0, 0, 0];0;10
42;BTConfiguracionBantotal_v1.ObtenerActividades_2;455;0;2021-08-27 14:58:17;[0, 0, 0, 0, 0, 0];0;10
43;BTConfiguracionBantotal_v1.ObtenerActividades_3;468;0;2021-08-27 14:58:18;[0, 0, 0, 0, 0, 0];0;10
44;BTConfiguracionBantotal_v1.ObtenerBancos_1;232;0;2021-08-27 14:58:14;[0, 0, 0, 0, 0, 0];0;10
45;BTConfiguracionBantotal_v1.ObtenerBancos_2;281;0;2021-08-27 14:58:05;[0, 0, 0, 0, 0, 0];0;10
46;BTConfiguracionBantotal_v1.ObtenerBancos_3;235;0;2021-08-27 14:58:06;[0, 0, 0, 0, 0, 0];0;10
47;BTConfiguracionBantotal_v1.ObtenerBarriosColonias_1;311;0;2021-08-27 14:58:22;[0, 0, 0, 0, 0, 0];0;10
48;BTConfiguracionBantotal_v1.ObtenerBarriosColonias_2;347;0;2021-08-27 14:58:01;[0, 0, 0, 0, 0, 0];0;10
49;BTConfiguracionBantotal_v1.ObtenerBarriosColonias_3;395;0;2021-08-27 14:57:54;[0, 0, 0, 0, 0, 0];0;10
50;BTConfiguracionBantotal_v1.ObtenerCiudadesLocalidades_1;314;0;2021-08-27 14:57:55;[0, 0, 0, 0, 0, 0];0;10
51;BTConfiguracionBantotal_v1.ObtenerCiudadesLocalidades_2;268;0;2021-08-27 14:57:53;[0, 0, 0, 0, 0, 0];0;10
