Id;Name;Duration;CalcPrio;LastRun;LastResults;Verdict;Cycle
1;BTPrestamos_v1.Simular_1;266;0;2021-08-31 12:40:13;[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0];1;19
2;BTPrestamos_v1.Simular_2;337;0;2021-08-31 12:40:14;[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1];1;19
3;BTPrestamos_v1.ObtenerDetalle_1;403;0;2021-08-31 12:40:14;[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1];1;19
4;BTPrestamos_v1.ObtenerDetalle_2;327;0;2021-08-31 12:40:15;[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1];1;19
5;BTPrestamos_v1.Simular_5;264;0;2021-08-31 12:40:15;[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1];1;19
6;BTPrestamos_v1.ObtenerDetalle_3;471;0;2021-08-31 12:40:16;[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1];1;19
7;BTClientes_v1.Crear_2;238;0;2021-08-31 12:40:16;[0, 0, 0, 0, 0, 1, 1, 1];0;19
8;BTPrestamos_v1.Simular_3;273;0;2021-08-31 12:40:16;[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1];1;19
9;BTPrestamos_v1.Simular_4;333;0;2021-08-31 12:40:17;[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1];1;19
10;BTClientes_v1.Crear_4;349;0;2021-08-31 12:40:17;[1, 1, 1, 1, 1, 1, 1, 1];1;19
11;BTClientes_v1.Crear_1;392;0;2021-08-31 12:40:18;[0, 0, 0, 0, 0, 1, 1, 1];0;19
12;BTClientes_v1.Crear_3;319;0;2021-08-31 12:40:18;[0, 0, 0, 1, 1, 1, 1, 1];0;19
