Id;Name;Duration;CalcPrio;LastRun;LastResults;Verdict;Cycle
1;BTClientes_v1.ObtenerRiesgoCredito_3;290;0;2021-08-27 14:57:48;[0, 0, 0, 0, 0, 0];0;9
2;BTPrestamos_v1.ObtenerDetalle_1;730;0;2021-08-27 14:57:49;[1, 1, 1, 1, 1, 1, 1];1;9
3;BTPrestamos_v1.ObtenerDetalle_2;808;0;2021-08-27 14:57:50;[1, 1, 1, 1, 1, 1, 1];1;9
4;BTClientes_v1.Crear_3;517;0;2021-08-27 14:57:51;[0, 1, 1, 1, 1, 1];0;9
5;BTClientes_v1.Crear_4;381;0;2021-08-27 14:57:51;[1, 1, 1, 1, 1, 1];1;9
6;BTClientes_v1.ObtenerTarjetasDebito_2;333;0;2021-08-27 14:57:52;[0, 0, 0, 0, 0, 0];0;9
7;BTClientes_v1.ObtenerPerfil_3;340;0;2021-08-27 14:57:53;[1, 1, 1, 0, 0, 1];1;9
8;BTConfiguracionBantotal_v1.ObtenerCiudadesLocalidades_2;268;0;2021-08-27 14:57:53;[0, 0, 0, 0, 0, 0];0;9
9;BTClientes_v1.ObtenerSectores_1;299;0;2021-08-27 14:57:54;[0, 0, 0, 0, 0, 0];0;9
10;BTConfiguracionBantotal_v1.ObtenerBarriosColonias_3;395;0;2021-08-27 14:57:54;[0, 0, 0, 0, 0, 0];0;9
11;BTConfiguracionBantotal_v1.ObtenerCiudadesLocalidades_1;314;0;2021-08-27 14:57:55;[0, 0, 0, 0, 0, 0];0;9
12;BTClientes_v1.ObtenerIdentificadorUnico_2;274;0;2021-08-27 14:57:55;[0, 0, 0, 0, 0, 0];0;9
13;BTClientes_v1.ObtenerCuentasCorrientes_1;356;0;2021-08-27 14:57:56;[0, 0, 0, 0, 0, 0];0;9
14;BTClientes_v1.ObtenerPlazosFijos_1;233;0;2021-08-27 14:57:56;[0, 0, 0, 0, 0, 0];0;9
15;BTClientes_v1.ObtenerPlazosFijos_3;310;0;2021-08-27 14:57:57;[0, 0, 0, 0, 0, 0];0;9
16;BTClientes_v1.ObtenerIdentificadorUnico_1;295;0;2021-08-27 14:57:57;[0, 0, 0, 0, 0, 0];0;9
17;BTConfiguracionBantotal_v1.ObtenerSucursales_3;224;0;2021-08-27 14:57:57;[0, 0, 0, 0, 0, 0];0;9
18;BTConfiguracionBantotal_v1.ObtenerMonedas_1;313;0;2021-08-27 14:57:58;[0, 0, 0, 0, 0, 0];0;9
19;BTClientes_v1.ObtenerSectores_2;329;0;2021-08-27 14:57:58;[0, 0, 0, 0, 0, 0];0;9
20;BTClientes_v1.ObtenerPrestamos_1;280;0;2021-08-27 14:57:59;[0, 0, 0, 0, 0, 0];0;9
21;BTClientes_v1.ObtenerTarjetasDebito_3;251;0;2021-08-27 14:57:59;[0, 0, 0, 0, 0, 0];0;9
22;BTConfiguracionBantotal_v1.ObtenerMonedas_3;220;0;2021-08-27 14:58:00;[0, 0, 0, 0, 0, 0];0;9
23;BTConfiguracionBantotal_v1.ObtenerActividades_1;406;0;2021-08-27 14:58:00;[0, 0, 0, 0, 0, 0];0;9
24;BTConfiguracionBantotal_v1.ObtenerBarriosColonias_2;347;0;2021-08-27 14:58:01;[0, 0, 0, 0, 0, 0];0;9
25;BTPrestamos_v1.ObtenerDetalle_3;500;0;2021-08-27 14:58:01;[1, 1, 1, 1, 1, 1, 1];1;9
26;BTClientes_v1.ObtenerResumenProductos_1;400;0;2021-08-27 14:58:02;[0, 0, 0, 0, 0, 0];0;9
27;BTClientes_v1.ObtenerIdentificadorUnico_3;397;0;2021-08-27 14:58:03;[0, 0, 0, 0, 0, 0];0;9
28;BTClientes_v1.ObtenerCuentasCorrientes_3;240;0;2021-08-27 14:58:03;[0, 0, 0, 0, 0, 0];0;9
29;BTConfiguracionBantotal_v1.ObtenerEjecutivos_3;288;0;2021-08-27 14:58:04;[0, 0, 0, 0, 0, 0];0;9
30;BTConfiguracionBantotal_v1.ObtenerEjecutivos_1;330;0;2021-08-27 14:58:04;[0, 0, 0, 0, 0, 0];0;9
31;BTClientes_v1.ObtenerTarjetasDebito_1;313;0;2021-08-27 14:58:05;[0, 0, 0, 0, 0, 0];0;9
32;BTConfiguracionBantotal_v1.ObtenerBancos_2;281;0;2021-08-27 14:58:05;[0, 0, 0, 0, 0, 0];0;9
33;BTClientes_v1.ObtenerCuentasCorrientes_2;379;0;2021-08-27 14:58:06;[0, 0, 0, 0, 0, 0];0;9
34;BTConfiguracionBantotal_v1.ObtenerBancos_3;235;0;2021-08-27 14:58:06;[0, 0, 0, 0, 0, 0];0;9
35;BTConfiguracionBantotal_v1.ObtenerEstadosProvinciasDepartamentos_1;239;0;2021-08-27 14:58:07;[0, 0, 0, 0, 0, 0];0;9
36;BTClientes_v1.ObtenerResumenProductos_2;348;0;2021-08-27 14:58:07;[0, 0, 0, 0, 0, 0];0;9
37;BTClientes_v1.ObtenerPrestamos_3;313;0;2021-08-27 14:58:07;[0, 0, 0, 0, 0, 0];0;9
38;BTClientes_v1.ObtenerResumenProductos_3;477;0;2021-08-27 14:58:08;[0, 0, 0, 0, 0, 0];0;9
39;BTClientes_v1.ObtenerPerfil_2;297;0;2021-08-27 14:58:09;[0, 0, 0, 0, 0, 0];0;9
