Id;Name;Duration;CalcPrio;LastRun;LastResults;Verdict;Cycle
1;BTPrestamos_v1.ObtenerDetalle_1;1241;0;2021-08-30 11:46:41;[1, 1, 1, 1, 1, 1, 1, 1, 1];1;12
2;BTPrestamos_v1.Simular_5;365;0;2021-08-30 11:46:42;[1, 1, 1, 1, 1, 1, 1, 1];1;12
3;BTPrestamos_v1.ObtenerDetalle_2;340;0;2021-08-30 11:46:43;[1, 1, 1, 1, 1, 1, 1, 1, 1];1;12
4;BTPrestamos_v1.Simular_1;286;0;2021-08-30 11:46:43;[1, 1, 1, 1, 1, 1, 1, 0];1;12
5;BTPrestamos_v1.Simular_2;301;0;2021-08-30 11:46:44;[1, 1, 1, 1, 1, 1, 1, 1];1;12
6;BTPrestamos_v1.Simular_3;389;0;2021-08-30 11:46:44;[1, 1, 1, 1, 1, 1, 1, 1];1;12
7;BTPrestamos_v1.Simular_4;362;0;2021-08-30 11:46:45;[1, 1, 1, 1, 1, 1, 1, 1];1;12
8;BTPrestamos_v1.ObtenerDetalle_3;497;0;2021-08-30 11:46:45;[1, 1, 1, 1, 1, 1, 1, 1, 1];1;12
