Id;Name;Duration;CalcPrio;LastRun;LastResults;Verdict;Cycle
1;BTPrestamos_v1.ObtenerDetalle_1;296;0;2021-08-27 15:01:26;[1, 1, 1, 1, 1, 1, 1, 1];1;12
2;BTPrestamos_v1.ObtenerDetalle_2;397;0;2021-08-27 15:01:34;[1, 1, 1, 1, 1, 1, 1, 1];1;12
3;BTPrestamos_v1.ObtenerDetalle_3;514;0;2021-08-27 15:01:21;[1, 1, 1, 1, 1, 1, 1, 1];1;12
4;BTPrestamos_v1.Simular_1;263;0;2021-08-30 09:44:37;[1, 1, 1, 1, 1, 1, 0];1;12
5;BTPrestamos_v1.Simular_2;305;0;2021-08-30 09:44:38;[1, 1, 1, 1, 1, 1, 1];1;12
6;BTPrestamos_v1.Simular_3;283;0;2021-08-30 09:44:37;[1, 1, 1, 1, 1, 1, 1];1;12
7;BTPrestamos_v1.Simular_4;357;0;2021-08-30 09:44:38;[1, 1, 1, 1, 1, 1, 1];1;12
8;BTPrestamos_v1.Simular_5;307;0;2021-08-30 09:44:36;[1, 1, 1, 1, 1, 1, 1];1;12
