Id;Name;Duration;CalcPrio;LastRun;LastResults;Verdict;Cycle
1;BTPrestamos_v1.Simular_1;262;0;2021-08-31 12:09:05;[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0];1;18
2;BTPrestamos_v1.Simular_2;274;0;2021-08-31 12:09:04;[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1];1;18
3;BTPrestamos_v1.Simular_3;297;0;2021-08-31 12:09:05;[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1];1;18
4;BTPrestamos_v1.Simular_4;318;0;2021-08-31 12:09:06;[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1];1;18
5;BTPrestamos_v1.Simular_5;314;0;2021-08-31 12:09:06;[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1];1;18
