Id;Name;Duration;CalcPrio;LastRun;LastResults;Verdict;Cycle
1;BTPrestamos_v1.Simular_1;345;0;2021-08-31 12:05:57;[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0];1;17
2;BTPrestamos_v1.Simular_2;352;0;2021-08-31 12:05:58;[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1];1;17
3;BTPrestamos_v1.Simular_3;263;0;2021-08-31 12:05:56;[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1];1;17
4;BTPrestamos_v1.Simular_4;253;0;2021-08-31 12:05:56;[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1];1;17
5;BTPrestamos_v1.Simular_5;296;0;2021-08-31 12:05:57;[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1];1;17
