Id;Name;Duration;CalcPrio;LastRun;LastResults;Verdict;Cycle
1;BTPrestamos_v1.ObtenerDetalle_1;246;0;2021-08-31 12:43:48;[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1];1;20
2;BTPrestamos_v1.ObtenerDetalle_2;331;0;2021-08-31 12:43:48;[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1];1;20
3;BTPrestamos_v1.Simular_2;228;0;2021-08-31 12:43:49;[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1];1;20
4;BTPrestamos_v1.Simular_3;294;0;2021-08-31 12:43:49;[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1];1;20
5;BTPrestamos_v1.Simular_4;259;0;2021-08-31 12:43:49;[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1];1;20
6;BTClientes_v1.ObtenerCuentasCorrientes_3;197;0;2021-08-31 12:43:50;[0, 0, 0, 0, 0, 0, 0, 0];0;20
7;BTPrestamos_v1.Simular_1;310;0;2021-08-31 12:43:50;[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0];1;20
8;BTClientes_v1.ObtenerClasificacionesInternas_3;198;0;2021-08-31 12:43:51;[0, 0, 0, 0, 0, 0, 0, 0];0;20
9;BTPrestamos_v1.ObtenerDetalle_3;493;0;2021-08-31 12:43:51;[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1];1;20
10;BTClientes_v1.ObtenerCuentasAhorro_3;220;0;2021-08-31 12:43:52;[0, 0, 0, 0, 0, 0, 0, 0];0;20
11;BTPrestamos_v1.Simular_5;217;0;2021-08-31 12:43:52;[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1];1;20
12;BTConfiguracionBantotal_v1.ObtenerMonedas_3;198;0;2021-08-31 12:43:52;[0, 0, 0, 0, 0, 0, 0, 0];0;20
13;BTClientes_v1.ObtenerSectores_1;178;0;2021-08-31 12:43:53;[0, 0, 0, 0, 0, 0, 0, 0];0;20
14;BTConfiguracionBantotal_v1.ObtenerMonedas_1;225;0;2021-08-31 12:43:53;[0, 0, 0, 0, 0, 0, 0, 0];0;20
15;BTClientes_v1.ObtenerClasificacionesInternas_1;218;0;2021-08-31 12:43:53;[0, 0, 0, 0, 0, 0, 0, 0];0;20
16;BTClientes_v1.ObtenerSectores_2;201;0;2021-08-31 12:43:54;[0, 0, 0, 0, 0, 0, 0, 0];0;20
17;BTConfiguracionBantotal_v1.ObtenerBarriosColonias_1;213;0;2021-08-31 12:43:54;[0, 0, 0, 0, 0, 0, 0, 0];0;20
18;BTClientes_v1.ObtenerPlazosFijos_1;220;0;2021-08-31 12:43:54;[0, 0, 0, 0, 0, 0, 0, 0];0;20
19;BTConfiguracionBantotal_v1.ObtenerEstadosProvinciasDepartamentos_2;199;0;2021-08-31 12:43:55;[0, 0, 0, 0, 0, 0, 0, 0];0;20
20;BTClientes_v1.ObtenerCuentasCorrientes_1;336;0;2021-08-31 12:43:55;[0, 0, 0, 0, 0, 0, 0, 0];0;20
21;BTClientes_v1.ObtenerClasificacionesInternas_2;184;0;2021-08-31 12:43:56;[0, 0, 0, 0, 0, 0, 0, 0];0;20
22;BTConfiguracionBantotal_v1.ObtenerEjecutivos_2;217;0;2021-08-31 12:43:56;[0, 0, 0, 0, 0, 0, 0, 0];0;20
23;BTConfiguracionBantotal_v1.ObtenerBancos_1;193;0;2021-08-31 12:43:56;[0, 0, 0, 0, 0, 0, 0, 0];0;20
24;BTConfiguracionBantotal_v1.ObtenerMonedas_2;235;0;2021-08-31 12:43:57;[0, 0, 0, 0, 0, 0, 0, 0];0;20
25;BTClientes_v1.ObtenerCuentasCorrientes_2;207;0;2021-08-31 12:43:57;[0, 0, 0, 0, 0, 0, 0, 0];0;20
26;BTClientes_v1.ObtenerPlazosFijos_3;221;0;2021-08-31 12:43:57;[0, 0, 0, 0, 0, 0, 0, 0];0;20
27;BTClientes_v1.ObtenerSectores_3;218;0;2021-08-31 12:43:58;[0, 0, 0, 0, 0, 0, 0, 0];0;20
28;BTClientes_v1.ObtenerCuentasAhorro_1;259;0;2021-08-31 12:43:58;[0, 0, 0, 0, 0, 0, 0, 0];0;20
29;BTClientes_v1.ObtenerPrestamos_3;234;0;2021-08-31 12:43:59;[0, 0, 0, 0, 0, 0, 0, 0];0;20
30;BTConfiguracionBantotal_v1.ObtenerEstadosProvinciasDepartamentos_1;184;0;2021-08-31 12:43:59;[0, 0, 0, 0, 0, 0, 0, 0];0;20
31;BTConfiguracionBantotal_v1.ObtenerSucursales_3;175;0;2021-08-31 12:43:59;[0, 0, 0, 0, 0, 0, 0, 0];0;20
32;BTConfiguracionBantotal_v1.ObtenerCiudadesLocalidades_2;184;0;2021-08-31 12:44:00;[0, 0, 0, 0, 0, 0, 0, 0];0;20
33;BTConfiguracionBantotal_v1.ObtenerPaises_3;279;0;2021-08-31 12:44:00;[0, 0, 0, 0, 0, 0, 0];0;20
34;BTConfiguracionBantotal_v1.ObtenerBancos_2;233;0;2021-08-31 12:44:00;[0, 0, 0, 0, 0, 0, 0, 0];0;20
35;BTConfiguracionBantotal_v1.ObtenerCiudadesLocalidades_1;215;0;2021-08-31 12:44:01;[0, 0, 0, 0, 0, 0, 0, 0];0;20
36;BTConfiguracionBantotal_v1.ObtenerSucursales_1;151;0;2021-08-31 12:44:01;[0, 0, 0, 0, 0, 0, 0];0;20
37;BTClientes_v1.ObtenerPrestamos_2;219;0;2021-08-31 12:44:01;[0, 0, 0, 0, 0, 0, 0, 0];0;20
38;BTConfiguracionBantotal_v1.ObtenerCiudadesLocalidades_3;192;0;2021-08-31 12:44:02;[0, 0, 0, 0, 0, 0, 0, 0];0;20
39;BTConfiguracionBantotal_v1.ObtenerActividades_3;313;0;2021-08-31 12:44:02;[0, 0, 0, 0, 0, 0, 0, 0];0;20
40;BTConfiguracionBantotal_v1.ObtenerActividades_1;296;0;2021-08-31 12:44:02;[0, 0, 0, 0, 0, 0, 0, 0];0;20
41;BTConfiguracionBantotal_v1.ObtenerPaises_1;354;0;2021-08-31 12:44:03;[0, 0, 0, 0, 0, 0, 0, 0];0;20
42;BTConfiguracionBantotal_v1.ObtenerActividades_2;350;0;2021-08-31 12:44:03;[0, 0, 0, 0, 0, 0, 0, 0];0;20
43;BTConfiguracionBantotal_v1.ObtenerBarriosColonias_3;304;0;2021-08-31 12:44:04;[0, 0, 0, 0, 0, 0, 0, 0];0;20
44;BTConfiguracionBantotal_v1.ObtenerPaises_2;324;0;2021-08-31 12:44:04;[0, 0, 0, 0, 0, 0, 0];0;20
45;BTClientes_v1.ObtenerPlazosFijos_2;228;0;2021-08-31 12:44:05;[0, 0, 0, 0, 0, 0, 0, 0];0;20
46;BTConfiguracionBantotal_v1.ObtenerEjecutivos_1;209;0;2021-08-31 12:44:05;[0, 0, 0, 0, 0, 0, 0, 0];0;20
47;BTClientes_v1.ObtenerCuentasAhorro_2;297;0;2021-08-31 12:44:06;[0, 0, 0, 0, 0, 0, 0, 0];0;20
48;BTConfiguracionBantotal_v1.ObtenerBarriosColonias_2;270;0;2021-08-31 12:44:06;[0, 0, 0, 0, 0, 0, 0, 0];0;20
49;BTConfiguracionBantotal_v1.ObtenerBancos_3;213;0;2021-08-31 12:44:07;[0, 0, 0, 0, 0, 0, 0, 0];0;20
50;BTConfiguracionBantotal_v1.ObtenerSucursales_2;211;0;2021-08-31 12:44:07;[0, 0, 0, 0, 0, 0, 0, 0];0;20
51;BTConfiguracionBantotal_v1.ObtenerEjecutivos_3;181;0;2021-08-31 12:44:07;[0, 0, 0, 0, 0, 0, 0, 0];0;20
52;BTClientes_v1.ObtenerPrestamos_1;198;0;2021-08-31 12:44:08;[0, 0, 0, 0, 0, 0, 0, 0];0;20
53;BTConfiguracionBantotal_v1.ObtenerEstadosProvinciasDepartamentos_3;174;0;2021-08-31 12:44:08;[0, 0, 0, 0, 0, 0, 0, 0];0;20
