Id;Name;Duration;CalcPrio;LastRun;LastResults;Verdict;Cycle
1;BTClientes_v1.Crear_1;1036;0;2021-08-25 20:59:01;[1];1;1
2;BTClientes_v1.Crear_2;1265;0;2021-08-25 20:59:02;[1];1;1
3;BTClientes_v1.Crear_3;1148;0;2021-08-25 20:59:04;[1];1;1
4;BTClientes_v1.Crear_4;1091;0;2021-08-25 20:59:05;[1];1;1
5;BTClientes_v1.ObtenerClasificacionesInternas_1;765;0;2021-08-25 20:59:07;[0];0;1
6;BTClientes_v1.ObtenerClasificacionesInternas_2;762;0;2021-08-25 20:59:08;[0];0;1
7;BTClientes_v1.ObtenerClasificacionesInternas_3;728;0;2021-08-25 20:59:09;[0];0;1
8;BTClientes_v1.ObtenerCuentasAhorro_1;746;0;2021-08-25 20:59:10;[0];0;1
9;BTClientes_v1.ObtenerCuentasAhorro_2;809;0;2021-08-25 20:59:11;[0];0;1
10;BTClientes_v1.ObtenerCuentasAhorro_3;876;0;2021-08-25 20:59:12;[0];0;1
11;BTClientes_v1.ObtenerCuentasCorrientes_1;808;0;2021-08-25 20:59:13;[0];0;1
12;BTClientes_v1.ObtenerCuentasCorrientes_2;873;0;2021-08-25 20:59:14;[0];0;1
13;BTClientes_v1.ObtenerCuentasCorrientes_3;864;0;2021-08-25 20:59:16;[0];0;1
14;BTClientes_v1.ObtenerIdentificadorUnico_1;882;0;2021-08-25 20:59:17;[0];0;1
15;BTClientes_v1.ObtenerIdentificadorUnico_2;877;0;2021-08-25 20:59:18;[0];0;1
16;BTClientes_v1.ObtenerIdentificadorUnico_3;904;0;2021-08-25 20:59:19;[0];0;1
17;BTClientes_v1.ObtenerPerfil_1;941;0;2021-08-25 20:59:20;[0];0;1
18;BTClientes_v1.ObtenerPerfil_2;914;0;2021-08-25 20:59:22;[0];0;1
19;BTClientes_v1.ObtenerPerfil_3;1324;0;2021-08-25 20:59:23;[1];1;1
20;BTClientes_v1.ObtenerPlazosFijos_1;797;0;2021-08-25 20:59:25;[0];0;1
21;BTClientes_v1.ObtenerPlazosFijos_2;872;0;2021-08-25 20:59:27;[0];0;1
22;BTClientes_v1.ObtenerPlazosFijos_3;1036;0;2021-08-25 20:59:28;[0];0;1
23;BTClientes_v1.ObtenerPrestamos_1;820;0;2021-08-25 20:59:30;[0];0;1
24;BTClientes_v1.ObtenerPrestamos_2;869;0;2021-08-25 20:59:31;[0];0;1
25;BTClientes_v1.ObtenerPrestamos_3;1357;0;2021-08-25 20:59:32;[0];0;1
26;BTClientes_v1.ObtenerResumenProductos_1;1096;0;2021-08-25 20:59:34;[0];0;1
27;BTClientes_v1.ObtenerResumenProductos_2;1027;0;2021-08-25 20:59:35;[0];0;1
28;BTClientes_v1.ObtenerResumenProductos_3;1733;0;2021-08-25 20:59:36;[0];0;1
29;BTClientes_v1.ObtenerRiesgoCredito_1;815;0;2021-08-25 20:59:38;[0];0;1
30;BTClientes_v1.ObtenerRiesgoCredito_2;794;0;2021-08-25 20:59:40;[0];0;1
31;BTClientes_v1.ObtenerRiesgoCredito_3;754;0;2021-08-25 20:59:41;[0];0;1
32;BTClientes_v1.ObtenerSectores_1;743;0;2021-08-25 20:59:42;[0];0;1
33;BTClientes_v1.ObtenerSectores_2;772;0;2021-08-25 20:59:43;[0];0;1
34;BTClientes_v1.ObtenerSectores_3;722;0;2021-08-25 20:59:44;[0];0;1
35;BTClientes_v1.ObtenerTarjetasDebito_1;761;0;2021-08-25 20:59:45;[0];0;1
36;BTClientes_v1.ObtenerTarjetasDebito_2;776;0;2021-08-25 20:59:46;[0];0;1
37;BTClientes_v1.ObtenerTarjetasDebito_3;760;0;2021-08-25 20:59:47;[0];0;1
38;BTClientes_v1.ValidarExistencia_1;772;0;2021-08-25 20:59:48;[0];0;1
39;BTClientes_v1.ValidarExistencia_2;741;0;2021-08-25 20:59:49;[0];0;1
40;BTClientes_v1.ValidarExistencia_3;728;0;2021-08-25 20:59:50;[0];0;1
41;BTConfiguracionBantotal_v1.ObtenerActividades_1;1062;0;2021-08-25 20:59:51;[0];0;1
42;BTConfiguracionBantotal_v1.ObtenerActividades_2;1181;0;2021-08-25 20:59:53;[0];0;1
43;BTConfiguracionBantotal_v1.ObtenerActividades_3;1076;0;2021-08-25 20:59:54;[0];0;1
44;BTConfiguracionBantotal_v1.ObtenerBancos_1;738;0;2021-08-25 20:59:56;[0];0;1
45;BTConfiguracionBantotal_v1.ObtenerBancos_2;775;0;2021-08-25 20:59:57;[0];0;1
46;BTConfiguracionBantotal_v1.ObtenerBancos_3;827;0;2021-08-25 20:59:58;[0];0;1
47;BTConfiguracionBantotal_v1.ObtenerBarriosColonias_1;862;0;2021-08-25 20:59:59;[0];0;1
48;BTConfiguracionBantotal_v1.ObtenerBarriosColonias_2;1014;0;2021-08-25 21:00:00;[0];0;1
49;BTConfiguracionBantotal_v1.ObtenerBarriosColonias_3;990;0;2021-08-25 21:00:01;[0];0;1
50;BTConfiguracionBantotal_v1.ObtenerCiudadesLocalidades_1;777;0;2021-08-25 21:00:03;[0];0;1
51;BTConfiguracionBantotal_v1.ObtenerCiudadesLocalidades_2;733;0;2021-08-25 21:00:04;[0];0;1
52;BTConfiguracionBantotal_v1.ObtenerCiudadesLocalidades_3;845;0;2021-08-25 21:00:05;[0];0;1
53;BTConfiguracionBantotal_v1.ObtenerEjecutivos_1;781;0;2021-08-25 21:00:06;[0];0;1
54;BTConfiguracionBantotal_v1.ObtenerEjecutivos_2;771;0;2021-08-25 21:00:07;[0];0;1
55;BTConfiguracionBantotal_v1.ObtenerEjecutivos_3;816;0;2021-08-25 21:00:08;[0];0;1
56;BTConfiguracionBantotal_v1.ObtenerEstadosProvinciasDepartamentos_1;834;0;2021-08-25 21:00:09;[0];0;1
57;BTConfiguracionBantotal_v1.ObtenerEstadosProvinciasDepartamentos_2;730;0;2021-08-25 21:00:11;[0];0;1
58;BTConfiguracionBantotal_v1.ObtenerEstadosProvinciasDepartamentos_3;772;0;2021-08-25 21:00:12;[0];0;1
59;BTConfiguracionBantotal_v1.ObtenerMonedas_1;677;0;2021-08-25 21:00:13;[0];0;1
60;BTConfiguracionBantotal_v1.ObtenerMonedas_2;741;0;2021-08-25 21:00:14;[0];0;1
61;BTConfiguracionBantotal_v1.ObtenerMonedas_3;727;0;2021-08-25 21:00:15;[0];0;1
62;BTConfiguracionBantotal_v1.ObtenerPaises_1;989;0;2021-08-25 21:00:16;[0];0;1
63;BTConfiguracionBantotal_v1.ObtenerPaises_2;966;0;2021-08-25 21:00:17;[0];0;1
64;BTConfiguracionBantotal_v1.ObtenerPaises_3;984;0;2021-08-25 21:00:18;[0];0;1
