Id;Name;Duration;CalcPrio;LastRun;LastResults;Verdict;Cycle
47;BTClientes_v1.ObtenerResumenProductos_2;369;0;2021-08-27 15:01:42;[0, 0, 0, 0, 0, 0, 0];0;10
48;BTClientes_v1.ObtenerTarjetasDebito_1;246;0;2021-08-27 15:01:43;[0, 0, 0, 0, 0, 0, 0];0;10
49;BTClientes_v1.ObtenerTarjetasDebito_2;343;0;2021-08-27 15:01:43;[0, 0, 0, 0, 0, 0, 0];0;10
50;BTClientes_v1.ObtenerPrestamos_1;235;0;2021-08-27 15:01:44;[0, 0, 0, 0, 0, 0, 0];0;10
51;BTClientes_v1.ObtenerIdentificadorUnico_3;204;0;2021-08-27 15:01:44;[0, 0, 0, 0, 0, 0, 0];0;10
52;BTClientes_v1.ObtenerPlazosFijos_3;227;0;2021-08-27 15:01:44;[0, 0, 0, 0, 0, 0, 0];0;10
53;BTConfiguracionBantotal_v1.ObtenerCiudadesLocalidades_2;241;0;2021-08-27 15:01:45;[0, 0, 0, 0, 0, 0, 0];0;10
54;BTClientes_v1.Crear_1;475;0;2021-08-27 15:01:45;[0, 0, 0, 0, 1, 1, 1];0;10
55;BTConfiguracionBantotal_v1.ObtenerCiudadesLocalidades_1;221;0;2021-08-27 15:01:46;[0, 0, 0, 0, 0, 0, 0];0;10
56;BTConfiguracionBantotal_v1.ObtenerBarriosColonias_2;255;0;2021-08-27 15:01:46;[0, 0, 0, 0, 0, 0, 0];0;10
57;BTConfiguracionBantotal_v1.ObtenerSucursales_1;186;0;2021-08-27 15:01:47;[0, 0, 0, 0, 0, 0];0;10
58;BTConfiguracionBantotal_v1.ObtenerEjecutivos_2;174;0;2021-08-27 15:01:47;[0, 0, 0, 0, 0, 0, 0];0;10
59;BTConfiguracionBantotal_v1.ObtenerEstadosProvinciasDepartamentos_2;210;0;2021-08-27 15:01:47;[0, 0, 0, 0, 0, 0, 0];0;10
60;BTConfiguracionBantotal_v1.ObtenerActividades_2;402;0;2021-08-27 15:01:48;[0, 0, 0, 0, 0, 0, 0];0;10
61;BTClientes_v1.Crear_3;317;0;2021-08-27 15:01:48;[0, 0, 1, 1, 1, 1, 1];0;10
62;BTConfiguracionBantotal_v1.ObtenerActividades_1;405;0;2021-08-27 15:01:49;[0, 0, 0, 0, 0, 0, 0];0;10
63;BTClientes_v1.ObtenerResumenProductos_3;411;0;2021-08-27 15:01:49;[0, 0, 0, 0, 0, 0, 0];0;10
64;BTClientes_v1.ObtenerResumenProductos_1;271;0;2021-08-27 15:01:50;[0, 0, 0, 0, 0, 0, 0];0;10
65;BTConfiguracionBantotal_v1.ObtenerActividades_3;483;0;2021-08-27 15:01:50;[0, 0, 0, 0, 0, 0, 0];0;10
66;BTConfiguracionBantotal_v1.ObtenerBarriosColonias_3;294;0;2021-08-27 15:01:51;[0, 0, 0, 0, 0, 0, 0];0;10
67;BTClientes_v1.ObtenerCuentasCorrientes_2;303;0;2021-08-27 15:01:51;[0, 0, 0, 0, 0, 0, 0];0;10
68;BTClientes_v1.ObtenerSectores_1;230;0;2021-08-27 15:01:52;[0, 0, 0, 0, 0, 0, 0];0;10
69;BTClientes_v1.ObtenerIdentificadorUnico_1;200;0;2021-08-27 15:01:52;[0, 0, 0, 0, 0, 0, 0];0;10
70;BTConfiguracionBantotal_v1.ObtenerPaises_2;346;0;2021-08-27 15:01:53;[0, 0, 0, 0, 0, 0];0;10
71;BTConfiguracionBantotal_v1.ObtenerPaises_3;306;0;2021-08-27 15:01:53;[0, 0, 0, 0, 0, 0];0;10
72;BTClientes_v1.ObtenerPrestamos_2;233;0;2021-08-27 15:01:53;[0, 0, 0, 0, 0, 0, 0];0;10
73;BTClientes_v1.ObtenerRiesgoCredito_2;222;0;2021-08-27 15:01:54;[0, 0, 0, 0, 0, 0, 0];0;10
74;BTClientes_v1.ObtenerSectores_2;182;0;2021-08-27 15:01:54;[0, 0, 0, 0, 0, 0, 0];0;10
75;BTConfiguracionBantotal_v1.ObtenerPaises_1;329;0;2021-08-27 15:01:55;[0, 0, 0, 0, 0, 0, 0];0;10
